source,target,edge_type
2639156,196354813,member_of
2639156,327469823,member_of
2639156,43959706,member_of
2639156,43958731,member_of
2639156,353066469,member_of
2639156,43958412,member_of
2639156,327427049,member_of
2639410,196364135,member_of
2653525,197660304,member_of
2653525,197648998,member_of
3404673,254121700,member_of
3404673,203465703,member_of
3404673,203465707,member_of
3404673,203465706,member_of
3404673,256100697,member_of
3404673,295289146,member_of
3404673,295289150,member_of
3404673,295289154,member_of
3404673,203465704,member_of
3404673,203465435,member_of
3404673,203465437,member_of
3404673,203464653,member_of
3404673,241643278,member_of
3404673,203464657,member_of
3404673,203464652,member_of
3404673,203464655,member_of
3404673,203464658,member_of
3404673,203464659,member_of
3404673,203464656,member_of
3404673,203464294,member_of
3404673,203464291,member_of
3404673,203464290,member_of
3404673,203464292,member_of
3404673,203464305,member_of
3404673,203464309,member_of
3404673,203464293,member_of
3404673,203463553,member_of
3404673,203463554,member_of
3404673,254121699,member_of
3404673,254121698,member_of
3424544,255727192,member_of
3424544,255727035,member_of
3424545,255727266,member_of
3424545,255727252,member_of
3424545,262602141,member_of
3424545,262606533,member_of
3424545,294581482,member_of
3424545,255726891,member_of
3424545,255727247,member_of
3424545,294581479,member_of
3424546,396813627,member_of
3424546,396486419,member_of
3424546,255727073,member_of
3424546,255727117,member_of
3424546,255727268,member_of
3424546,255727034,member_of
3424546,275266214,member_of
3424546,275266146,member_of
3424546,275266144,member_of
3424546,275265927,member_of
3424546,275266336,member_of
3424546,275266213,member_of
3424546,275266172,member_of
3424546,275266206,member_of
3424546,275266197,member_of
3424546,275266170,member_of
3424546,275266346,member_of
3424546,255727240,member_of
3424546,275266185,member_of
3424546,275265850,member_of
3424546,255727202,member_of
3424546,255727127,member_of
3424546,255727059,member_of
3424546,255727089,member_of
3424546,255727269,member_of
3424546,275266153,member_of
3424547,256518262,member_of
3424547,294257101,member_of
3424547,294257106,member_of
3424547,256518264,member_of
3424547,294257108,member_of
3424547,294257113,member_of
3424547,41725928,member_of
3424547,294262855,member_of
3424547,294262852,member_of
3424547,256519795,member_of
3424547,30160301,member_of
3424547,256519796,member_of
3424547,256517434,member_of
3424547,203463557,member_of
3424547,203463556,member_of
3424547,203463548,member_of
3424547,254119580,member_of
3424547,256518267,member_of
3424547,256518270,member_of
3424547,41714806,member_of
3424547,294257111,member_of
3424547,294257110,member_of
3424547,255727179,member_of
3424550,255726964,member_of
3424550,335684966,member_of
3424550,335684952,member_of
3424550,255726890,member_of
3424550,255727012,member_of
3424550,255726949,member_of
3424550,422445990,member_of
3424550,422445994,member_of
3424550,255727254,member_of
3424550,422445983,member_of
3424550,422445984,member_of
3424550,422446016,member_of
