object_id,object_type_id,is_created,is_deleted,version_delta,tag_count_before,tag_count_after,tag_add_count,tag_remove_count,tag_modify_count,geo_shift_distance,length_change_ratio,centroid_shift,member_count_delta
4514044545,0,1,0,1,0,0,0,0,0,0.0,0,0.0,0
454920812,1,1,0,1,0,1,1,0,0,0.0,0,0.0,0
454920813,1,1,0,1,0,4,4,0,0,0.0,0,0.0,0
454920814,1,1,0,1,0,2,2,0,0,0.0,0,0.0,0
454920815,1,1,0,1,0,2,2,0,0,0.0,0,0.0,0
2298686890,0,0,0,1,0,0,0,0,0,38.012108553358445,0,0.0,0
4115057846,0,0,0,1,0,0,0,0,0,35.20904104780735,0,0.0,0
220780316,1,0,0,1,1,1,0,0,0,0.0,0,0.0,0
220780311,1,0,0,1,1,1,0,0,0,0.0,0,0.0,0
2298686888,0,0,1,2,0,0,0,0,0,0.0,0,0.0,0
341825117,1,0,1,2,0,0,0,0,0,0.0,0,0.0,0
409611712,1,0,1,2,0,0,0,0,0,0.0,0,0.0,0
165275398,1,0,1,4,0,0,0,0,0,0.0,0,0.0,0
87102262,1,0,0,1,13,22,9,0,1,0.0,0,0.0,0
1732564683,0,0,0,1,1,8,7,0,0,0.0,0,0.0,0
3367156759,0,0,0,1,6,7,1,0,0,0.0,0,0.0,0
17859918,0,0,0,1,16,16,1,1,0,0.0,0,0.0,0
3048296942,0,0,0,1,2,10,8,0,1,0.0,0,0.0,0
3894575819,0,0,0,1,11,11,0,0,4,0.0,0,0.0,0
400874911,1,0,0,1,14,23,9,0,1,0.0,0,0.0,0
435724079,1,0,0,1,4,4,0,0,1,0.0,0,0.0,0
28289985,0,0,0,1,1,11,10,0,0,0.0,0,0.0,0
4576910523,0,1,0,1,0,9,9,0,0,0.0,0,0.0,0
4582390873,0,0,0,1,1,1,0,0,0,2.5389901969834865,0,0.0,0
462909807,1,0,0,1,8,8,0,0,0,0.0,0,0.0,0
133599492,1,0,0,1,3,3,0,0,0,0.0,0,0.0,0
4582390872,0,0,1,2,0,0,0,0,0,0.0,0,0.0,0
34730631,0,0,0,1,6,7,1,0,0,0.03220903055200692,0,0.0,0
34733094,0,0,0,1,6,7,1,0,0,0.06714278460023117,0,0.0,0
29546940,0,0,0,1,31,32,1,0,0,0.03198448926747684,0,0.0,0
34741297,0,0,0,1,7,8,1,0,0,0.06327117051639733,0,0.0,0
34733949,0,0,0,1,6,7,1,0,0,0.031751545738372015,0,0.0,0
34736758,0,0,0,1,6,7,1,0,0,0.04389135830014431,0,0.0,0
34742713,0,0,0,1,5,6,1,0,0,0.03419935252240883,0,0.0,0
34743345,0,0,0,1,5,6,1,0,0,0.011119492794399348,0,0.0,0
34740246,0,0,0,1,5,6,1,0,0,0.03753466725868435,0,0.0,0
48466175,0,0,0,1,5,6,1,0,0,0.04695399454232868,0,0.0,0
48638068,0,0,0,1,6,7,1,0,0,0.03419407550083385,0,0.0,0
34746675,0,0,0,1,17,18,1,0,0,0.022616599732052725,0,0.0,0
48638720,0,0,0,1,19,20,1,0,0,0.037367207152763524,0,0.0,0
